id,by,descendants,kids,score,time,title,type,url
22201337,mtlynch,374,"[22202301, 22204564, 22201343, 22202241, 22201928, 22203950, 22202056, 22201752, 22203574, 22201937, 22201743, 22202335, 22201737, 22204076, 22201754, 22201629, 22203921, 22202942, 22202253, 22205151, 22260635, 22204508, 22219071, 22205525, 22205536, 22202015, 22202086, 22202235, 22202594, 22202399, 22205411, 22203791, 22205077, 22206094, 22203508, 22202224, 22211731, 22202610, 22202418, 22201987, 22203252, 22202553]",1066,1580476160,My Second Year as a Solo Developer,story,https://mtlynch.io/solo-developer-year-2/
22201335,vo2maxer,0,,2,1580476155,The STORY about the ‘business as usual’ story is misleading,story,https://michaelmann.net/content/story-about-%E2%80%98business-usual%E2%80%99-story-misleading
22201331,CapitalistCartr,0,,3,1580476096,Students find website data leaks pose greater risks than most people realize,story,https://www.seas.harvard.edu/news/2020/01/imperiled-information
22201327,UglyToad,0,,2,1580476074,Grief for a lost future and an eroded past,story,https://theoutline.com/post/8616/climate-grief-mental-health-crisis
22201316,the-dagger,0,,1,1580476016,Deprecating AsyncTask in Android with Kotlin Coroutines,story,https://heartbeat.fritz.ai/replacing-asynctask-in-android-with-kotlin-coroutines-to-handle-background-tasks-93108f8f2db
22201305,ajaviaad,0,,1,1580475938,Super Sniffer Dogs Are Helping Detect Disease Around the World,story,https://www.npr.org/sections/health-shots/2020/01/25/799404129/how-super-sniffer-dogs-are-helping-detect-disease-around-the-world?mc_cid=50bb8f3334&mc_eid=f52f639ab0
22201302,andreigaspar,0,,1,1580475921,"Google Cloud Services summary, to help prepare for interviews and certificates",story,https://www.andreigaspar.com/google-cloud-notes-3-services/
22201300,zan5hin,0,,1,1580475906,AWS EKS Announces a 50% Price Reduction,story,https://aws.amazon.com/about-aws/whats-new/2020/01/amazon-eks-announces-price-reduction/
22201293,CapitalistCartr,0,,2,1580475871,U.S. Department of Interior Grounding All Drones,story,https://www.schneier.com/blog/archives/2020/01/us_department_o_1.html
22201290,ganzuul,1,[22201292],1,1580475857,Projective Geometric Algebra (SIGGRAPH2019),story,https://www.youtube.com/watch?v=tX4H_ctggYo
22201285,CapitalistCartr,0,,2,1580475800,A Warehouse Robot Learns to Sort Out the Tricky Stuff,story,https://www.nytimes.com/2020/01/29/technology/warehouse-robot.html
22201280,edward,50,"[22211238, 22211393, 22211645, 22210916, 22211125, 22211193, 22210700, 22211294, 22211116, 22211123, 22210740, 22210783, 22211024, 22210852]",35,1580475776,Not for sale: Luxury groups ponder ways to get rid of their unsold inventory,story,https://www.economist.com/business/2020/01/30/luxury-groups-ponder-ways-to-get-rid-of-their-unsold-inventory
22201274,moklick,1,[22201330],2,1580475750,Visualization of 2000 yellow press covers about the Brexit,story,https://www.zeit.de/politik/ausland/2020-01/brexit-britische-tabloids-grossbritannien-zeitungen-titelbilder
22201265,bookofjoe,1,[22201276],1,1580475719,Newly discovered neon-green spider named after 'Lady Gaga of mathematics',story,https://www.livescience.com/newly-discovered-math-spider.html
22201262,CapitalistCartr,0,,2,1580475689,Amazon Powers Ahead with Robust Profit,story,https://www.nytimes.com/2020/01/30/technology/amazon-earningts.html
22201256,edward,0,,3,1580475646,Slower is better: Is low economic growth a sign of success?,story,https://www.economist.com/finance-and-economics/2020/01/23/is-low-economic-growth-a-sign-of-success
22201253,itmouniversity,0,,2,1580475627,Post-cyberpunk: the latest trends in speculative fiction,story,https://habr.com/en/company/spbifmo/blog/486412/
22201249,CapitalistCartr,0,,3,1580475606,Maps Reveal Earth’s Unspoiled Places,story,http://m.nautil.us/issue/81/maps/these-maps-reveal-earths-unspoiled-places
22201239,rsj_hn,0,,4,1580475402,Traditional architecture gives a better sense of well-being than glass and steel,story,https://partner.sciencenorway.no/architecture-nmbu/traditional-architecture-gives-better-sense-of-well-being-than-contemporary-glass-and-steel-buildings/1631355
22201229,theBashShell,0,,1,1580475310,Mark Zuckerberg: WhatsApp Pay to Fully Launch in India Soon,story,https://www.entrepreneur.com/article/345711
22201213,Edouar1,0,,2,1580475131,Rust Moving Towards an IDE-Friendly Compiler with Rust Analyzer,story,https://www.infoq.com/news/2020/01/rust-analyser-ide-support/
